,name,Hosting team,visiting team,distance (in km),time plane (in seconds),fuel consumption (in kg),Emission plane (in kg),distance autocar (in km),time autocar (in sec),Emission autocar (in kg),Total time (in seconds),Total emission (aller-retour)
116,Lyon;-Strasbourg,Lyon,Strasbourg,407.90667563754386,2794.724170062361,2500.774696640421,14571.89000538844,70.912,4337,106.368,7131.724170062361,33398.50001077688
117,Lyon;-Saint-Étienne,Lyon,Saint-Étienne,65.3760763836137,1310.6496880066968,1482.2570998666683,8637.03853369117,30.679,1708,46.0185,3018.649688006697,19114.81706738234
118,Lyon;-Toulouse,Lyon,Toulouse,375.20153143224644,2653.0233408437416,2403.5256772807697,14005.224797545252,32.547,2075,48.820499999999996,4728.023340843742,29963.269595090504
119,Marseille;-Angers,Marseille,Angers,628.993977664596,3752.6240597643077,3158.179635143013,18402.55594491844,56.126999999999995,2878,84.1905,6630.624059764308,40172.73188983688
120,Marseille;-Auxerre,Marseille,Auxerre,507.7338852441397,3227.2432346792457,2797.6117378933805,16301.544708178733,40.384,2658,60.576,5885.243234679246,35026.129416357464
121,Marseille;-Brest,Marseille,Brest,928.990327015027,5052.4113714689065,4050.2212846973175,23600.43835111572,39.524,2373,59.286,7425.4113714689065,49572.316702231445
122,Marseille;-Le Havre,Marseille,Le Havre,764.2606415355489,4338.690836165975,3560.3961895458247,20746.251839225886,61.78,3361,92.67,7699.690836165975,45199.303678451775
123,Marseille;-Lens,Marseille,Lens,808.6523835001777,4531.02591982624,3692.3954049178087,21515.4047140459,66.17,3565,99.255,8096.02591982624,47001.0094280918
124,Marseille;-Lille,Marseille,Lille,808.6523835001777,4531.02591982624,3692.3954049178087,21515.4047140459,37.457,2261,56.1855,6792.02591982624,45278.2294280918
125,Marseille;-Lyon,Marseille,Lyon,254.28087744779583,2129.1131928958516,2043.9671030546742,11910.094835955466,53.576,2698,80.364,4827.113192895851,27034.749671910933
126,Marseille;-Monaco,Marseille,Monaco,163.0087332484171,1733.660464223324,1772.568620218919,10328.669350155064,63.224999999999994,3780,94.83749999999999,5513.660464223324,24450.838700310127
127,Marseille;-Montpellier,Marseille,Montpellier,101.9821876085917,1469.2521476836127,1591.1056772297009,9271.293790155478,51.031,3367,76.5465,4836.252147683613,21604.447580310956
128,Marseille;-Nantes,Marseille,Nantes,674.1528101686914,3948.282699035453,3292.4598006387737,19184.999802871043,52.693,2902,79.0395,6850.282699035453,41531.57960574209
129,Marseille;-Nice,Marseille,Nice,163.0087332484171,1733.660464223324,1772.568620218919,10328.669350155064,36.532,2324,54.797999999999995,4057.660464223324,22849.258700310125
130,Marseille;-Paris Saint-Germain,Marseille,Paris Saint-Germain,627.7608496099742,3747.2813140856533,3154.512918576834,18381.190169522888,50.555,3345,75.8325,7092.281314085653,39795.68033904578
131,Marseille;-Reims,Marseille,Reims,675.2419148928846,3953.001438129075,3295.6982626294284,19203.87016011588,75.764,3781,113.646,7734.001438129075,42953.58032023176
132,Marseille;-Rennes,Marseille,Rennes,744.3103513773921,4252.252670939814,3501.073835189503,20400.583425473018,38.024,2350,57.036,6602.252670939814,43082.60685094604
133,Marseille;-Strasbourg,Marseille,Strasbourg,633.4541767410641,3771.948662146379,3171.4420743364503,18479.83551967963,83.718,5025,125.577,8796.948662146378,41982.75103935926
134,Marseille;-Saint-Étienne,Marseille,Saint-Étienne,243.94926705306577,2084.3496611741416,2013.2459732841858,11731.084337945298,43.485,2396,65.2275,4480.349661174141,26071.268675890595
135,Marseille;-Toulouse,Marseille,Toulouse,311.0861755431129,2375.2322068830617,2212.878131225817,12894.331011454833,45.353,2763,68.0295,5138.232206883062,28509.842022909666
136,Monaco;-Angers,Monaco,Angers,728.3431001003955,4183.071727046408,3453.5950802019142,20123.927077261655,58.565,3400,87.84749999999998,7583.071727046408,43761.75415452331
137,Monaco;-Auxerre,Monaco,Auxerre,547.1833729878138,3398.165126673929,2914.9151190749712,16985.06568675175,42.822,3180,64.233,6578.165126673929,36539.4513735035
138,Monaco;-Brest,Monaco,Brest,1042.0886873891445,5542.430047053369,4386.520203562378,25560.035455651418,41.961999999999996,2895,62.94299999999999,8437.430047053369,53637.790911302836
139,Monaco;-Le Havre,Monaco,Le Havre,832.4016578626226,4633.923856902262,3763.014070524456,21926.896172644636,64.21799999999999,3883,96.32699999999998,8516.923856902262,47706.872345289274
140,Monaco;-Lens,Monaco,Lens,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,68.608,4087,102.91200000000002,8703.76225631991,47833.012993815515
141,Monaco;-Lille,Monaco,Lille,828.440688650695,4616.762256319909,3751.2360955014524,21858.266496907756,39.894999999999996,2783,59.842499999999994,7399.762256319909,46110.23299381551
142,Monaco;-Lyon,Monaco,Lyon,284.367066149662,2259.466933589396,2133.4286363584165,12431.382749163655,56.013999999999996,3220,84.02099999999999,5479.466933589396,28223.60549832731
143,Monaco;-Marseille,Monaco,Marseille,163.0087332484171,1733.660464223324,1772.568620218919,10328.669350155064,61.212999999999994,3774,91.8195,5507.660464223324,24330.118700310126
144,Monaco;-Montpellier,Monaco,Montpellier,261.6700229059889,2161.1279741813405,2065.938788768835,12038.122757818972,53.468999999999994,3889,80.20349999999999,6050.1279741813405,27284.385515637943
145,Monaco;-Nantes,Monaco,Nantes,789.587011266886,4448.421818224954,3635.704361399522,21185.068817913812,55.131,3424,82.6965,7872.421818224954,45677.997635827625
146,Monaco;-Nice,Monaco,Nice,0.0,1027.3962592351656,1287.86079089524,7504.300892195242,38.97,2846,58.45499999999999,3873.3962592351654,17346.801784390485
147,Monaco;-Paris Saint-Germain,Monaco,Paris Saint-Germain,675.4538246177807,3953.9195745405455,3296.328377965706,19207.541810898045,52.992999999999995,3867,79.4895,7820.919574540545,41594.66362179609
148,Monaco;-Reims,Monaco,Reims,682.9541468762709,3986.4160490022846,3318.630648823799,19337.49603598322,78.202,4303,117.303,8289.416049002284,43367.11207196644
149,Monaco;-Rennes,Monaco,Rennes,847.5200478153054,4699.426958778162,3807.9687292767962,22188.844737402953,40.461999999999996,2872,60.69299999999999,7571.426958778162,46805.40947480591
150,Monaco;-Strasbourg,Monaco,Strasbourg,572.9998066792679,3510.019397628466,2991.68050020577,17432.373751553623,86.156,5547,129.234,9057.019397628466,40034.10750310725
151,Monaco;-Saint-Étienne,Monaco,Saint-Étienne,311.05900634473386,2375.114491519529,2212.7973433875927,12893.860264732244,45.923,2918,68.8845,5293.114491519529,28543.10052946449
