,Hosting team,visiting team,Time,emission_carbone
247,Rennes,Montpellier,3910.210076332659,39842.0328392541
248,Rennes,Nantes,1461.4333025179171,20356.31206029537
249,Rennes,Nice,4699.426958778162,45284.289474805904
250,Rennes,Paris Saint-Germain,2382.8315238048185,27597.42174490113
251,Rennes,Reims,3084.5674507597746,34722.48126354785
252,Rennes,Strasbourg,4185.759418303965,44007.11044545512
253,Rennes,Saint-Étienne,3358.775218009664,34978.868887115175
254,Rennes,Toulouse,3399.347806271296,35415.45050487979
255,Strasbourg,Angers,3786.891214684823,41989.28233208206
256,Strasbourg,Auxerre,2563.0503131922446,31256.360758705272
257,Strasbourg,Brest,5008.648473646951,50764.778826869
258,Strasbourg,Le Havre,3544.19001332534,40387.32581974764
259,Strasbourg,Lens,2803.964797427638,34730.367016902695
260,Strasbourg,Lille,2803.964797427638,33007.5870169027
261,Strasbourg,Lyon,2794.724170062361,33900.82001077688
262,Strasbourg,Marseille,3771.948662146379,42028.65103935926
263,Strasbourg,Monaco,3510.019397628466,40200.72750310725
264,Strasbourg,Montpellier,3882.791658600682,42450.53894424306
265,Strasbourg,Nantes,4243.341450328804,45433.9544567403
266,Strasbourg,Nice,3510.019397628466,38599.14750310725
267,Strasbourg,Paris Saint-Germain,2840.884907304672,34088.75592738302
268,Strasbourg,Reims,2246.9856729807875,30851.259743235783
269,Strasbourg,Rennes,4185.759418303965,44093.27044545512
270,Strasbourg,Saint-Étienne,3023.658367601556,35126.38732863136
271,Strasbourg,Toulouse,4366.44767076678,45978.16424873591
272,Saint-Étienne,Angers,2840.5584288038503,31954.34473578245
273,Saint-Étienne,Auxerre,2172.2053061243805,25664.24257808937
274,Saint-Étienne,Brest,4214.422113817029,41946.3961372386
275,Saint-Étienne,Le Havre,3313.042801767967,36072.478703585904
276,Saint-Étienne,Lens,3483.547935091167,37699.58740374962
277,Saint-Étienne,Lille,3483.547935091167,35976.80740374962
278,Saint-Étienne,Lyon,1310.6496880066968,19564.99706738234
279,Saint-Étienne,Marseille,2084.3496611741416,26065.0286758906
280,Saint-Étienne,Monaco,2375.114491519529,28657.58052946449
281,Saint-Étienne,Montpellier,1974.5887781354604,24722.51556896324
282,Saint-Étienne,Nantes,3136.9881181922174,34119.16441916502
283,Saint-Étienne,Nice,2375.114491519529,27056.000529464487
284,Saint-Étienne,Paris Saint-Germain,2691.734445691664,30429.7229741434
285,Saint-Étienne,Reims,2931.17499916392,33857.32065937558
286,Saint-Étienne,Rennes,3358.775218009664,35012.88888711518
287,Saint-Étienne,Strasbourg,3023.658367601556,35074.24732863136
288,Saint-Étienne,Toulouse,2386.88580400727,27679.408083494134
289,Toulouse,Angers,3004.1289582928634,33314.55012292706
290,Toulouse,Auxerre,3180.2870310126955,33778.89131896368
291,Toulouse,Brest,4046.416681429091,40654.64017187872
