team,scenario,transport_type,alternative_selected,emissions_tonnes_co2_from_transport,emissions_tonnes_co2_from_empty_bus,emissions_tonnes_co2,travel_time_hours
Rennes,S-NP,train,22,27.630374515999996,51.498588,79.128962516,244.0377777777778
Rennes,S-NP',bus,12,11.656446,0.0,11.656446,75.05333333333333
Rennes,S-NP',train,22,27.630374515999996,0.0,27.630374515999996,244.0377777777778
Rennes,SA,avion,0,291.810345753094,57.57273600000001,349.383081753094,80.75166666666667
Rennes,SA,bus,0,5.582298,0.0,5.582298,37.80833333333333
Rennes,SA',avion,0,291.810345753094,0.0,291.810345753094,80.75166666666667
Rennes,SA',bus,0,5.582298,0.0,5.582298,37.80833333333333
Nantes,S-4h,avion,0,269.997767287744,51.13811099999999,321.135878287744,92.02277777777778
Nantes,S-4h,bus,8,9.220274999999999,0.0,9.220274999999999,58.995555555555555
Nantes,S-4h,train,2,0.23989172,2.2551659999999996,2.4950577199999997,10.41
Nantes,S-4h',avion,0,269.997767287744,0.0,269.997767287744,92.02277777777778
Nantes,S-4h',bus,8,9.220274999999999,0.0,9.220274999999999,58.995555555555555
Nantes,S-4h',train,2,0.23989172,0.0,0.23989172,10.41
Nantes,S-6h,avion,0,101.18720145415536,22.355055,123.54225645415536,32.71666666666667
Nantes,S-6h,bus,14,18.247208999999998,0.0,18.247208999999998,112.53277777777778
Nantes,S-6h,train,12,11.652375408000001,22.011288,33.663663408000005,109.1288888888889
Nantes,S-6h',avion,0,101.18720145415536,0.0,101.18720145415536,32.71666666666667
Nantes,S-6h',bus,14,18.247208999999998,0.0,18.247208999999998,112.53277777777778
Nantes,S-6h',train,12,11.652375408000001,0.0,11.652375408000001,109.1288888888889
Nantes,S-NP,bus,14,15.751667999999999,0.0,15.751667999999999,97.63888888888889
Nantes,S-NP,train,20,25.217744976000002,46.861883999999996,72.079628976,243.98777777777778
Nantes,S-NP',bus,14,15.751667999999999,0.0,15.751667999999999,97.63888888888889
Nantes,S-NP',train,20,25.217744976000002,0.0,25.217744976000002,243.98777777777778
Nantes,SA,avion,0,294.57544257561085,54.555611999999996,349.13105457561085,102.715
Nantes,SA,bus,0,8.05794,0.0,8.05794,51.25666666666667
Nantes,SA',avion,0,294.57544257561085,0.0,294.57544257561085,102.715
Nantes,SA',bus,0,8.05794,0.0,8.05794,51.25666666666667
Lyon,S-4h,avion,0,222.61962092727526,41.50333800000001,264.12295892727525,67.35333333333334
Lyon,S-4h,bus,4,2.336034,0.0,2.336034,15.833333333333334
Lyon,S-4h,train,8,1.4251143279999998,10.954367999999999,12.379482327999998,47.507777777777775
Lyon,S-4h',avion,0,222.61962092727526,0.0,222.61962092727526,67.35333333333334
Lyon,S-4h',bus,4,2.336034,0.0,2.336034,15.833333333333334
Lyon,S-4h',train,8,1.4251143279999998,0.0,1.4251143279999998,47.507777777777775
Lyon,S-6h,avion,0,28.44195303642295,5.91357,34.35552303642295,6.695555555555556
Lyon,S-6h,bus,8,8.207201999999999,0.0,8.207201999999999,54.25222222222222
Lyon,S-6h,train,24,4.914502172,40.672968,45.587470171999996,196.39888888888888
Lyon,S-6h',avion,0,28.44195303642295,0.0,28.44195303642295,6.695555555555556
Lyon,S-6h',bus,8,8.207201999999999,0.0,8.207201999999999,54.25222222222222
Lyon,S-6h',train,24,4.914502172,0.0,4.914502172,196.39888888888888
Lyon,S-NP,bus,8,8.207201999999999,0.0,8.207201999999999,54.25222222222222
Lyon,S-NP,train,26,7.310568139999999,46.586538,53.89710614,226.57111111111112
